Date,Job Title,Company Name,Company Address,Work Type,Career Level,URL,Description,Requirements,Salary,Experience,Education,Skills & Tools
2022-10-04 15:19:10,Professional Data Analyst,Confidential,"Cairo, Egypt",Full Time,Experienced (Non-Manager),https://wuzzuf.net/jobs/p/9rPTWJnYPFuq-Professional-Data-Analyst-Cairo-Egypt%3Fo%3D1%26l%3Dsp%26t%3Dsj%26a%3Ddata%20analyst%7Csearch-v3%7Cnavbl%7Cspbl,"<p><strong>Senior Data Analytics, Business Intelligence, Data Warehousing</strong></p><ul><li>Visualization.</li><li>Master Data Management and Robotic Process Automation professional.</li><li>With 7+ years of managing and high performing BI.</li><li>&nbsp;Data Governance and Predictive Analytics teams.</li></ul>",<ul><li>Visualization.</li><li>Master Data Management and Robotic Process Automation professional.</li><li>With 7+ years of managing and high performing BI.</li></ul>,Confidential,7+ years,Bachelor's Degree,"Analytics, BI, Data Analysis, Data Governance, Data Management, Analysis, Visualization, Data"
2022-09-25 09:36:20,Data Analyst,Gomla Market,"Ameria, Alexandria, Egypt",Full Time,Entry Level (Junior Level / Fresh Grad),https://wuzzuf.net/jobs/p/lGTaAJcRIwbm-Data-Analyst-Gomla-Market-Alexandria-Egypt%3Fo%3D2%26l%3Dsp%26t%3Dsj%26a%3Ddata%20analyst%7Csearch-v3%7Cnavbl%7Cspbl,"<p>At <strong>Gomla Market</strong>, we deal with massive data volumes, the data analyst will have the ability to glean meaningful insights from them. The data analyst will interpret statistical data and turn it into useful information that <strong>Gomla Market</strong> can use for critical decision-making.</p><p>The data analyst will aid decision making like which products to produce, which markets to enter, what investments to make, or which customers to target. They will also help identify weak areas in the business that need to be addressed.</p><p> </p><p>The candidate will clean, analyse, interpret, and display data using different approaches and business intelligence tools. The candidate is responsible for uncovering key insights that lead to better informed and successful decision-making. They will be responsible for the transformation of raw data into meaningful statistics, information, and explanations.</p><p>The data analyst will work primarily on market research, helping <strong>Gomla Market</strong> better understand its customers, their needs, shopping habits, trends, and future demand.</p><p>The data analyst must have good research, comprehension, and analytical abilities and the ability to synthesise information and generate action plans.</p><p> </p><p><strong>Main Roles and Responsibilities</strong></p><ul><li>Using statistical tools to identify, analyze, and interpret patterns and trends</li><li>Using automated tools to extract data from primary sources</li><li>Removing corrupted data</li><li>Developing and maintaining databases</li><li>Performing analysis to assess meaning of data</li><li>Filter data to review performance indicators</li><li>Preparing reports for the management stating trends, patterns, and predictions using relevant data</li></ul><p>This role is based <strong>at the Gomla Market Headquarters at Merghem</strong>, Alex-Cairo Desert road. Working <strong>from the office</strong> <strong>is a MUST</strong>.</p>","<ul><li>Bachelor's or Master's degree in Statistics or Applied Mathematics or equivalent experience</li><li>1 - 2 years' Data Analysis experience</li><li>Proficient in SQL</li><li>Proficiency in statistics and statistical packages like Excel, SPSS, SAS to be used for data set analysing</li><li>Knowledge of programming languages like SQL, Oracle, R, MATLAB, and Python</li><li>Cleansing and preparing data</li><li>Analysing and exploring data</li><li>Expertise in statistics</li><li>Analysing and visualizing data</li><li>Adept at queries, writing reports, and making presentations</li><li>Verbal and Written communication skills</li><li>Expertise in the domain</li><li>Solution-oriented</li></ul>",Confidential,1 - 2 years,Bachelor's Degree,"Analysis, SAS, SPSS, SQL, Statistics, Data Analysis, Data, excel, Mathematics"
2022-09-18 16:24:40,Senior Data Analyst - Cairo,Confidential,"Cairo, Egypt",Full Time,Experienced (Non-Manager),https://wuzzuf.net/jobs/p/R7KdIv7dCm0z-Senior-Data-Analyst---Cairo-Cairo-Egypt%3Fo%3D3%26l%3Dsp%26t%3Dsj%26a%3Ddata%20analyst%7Csearch-v3%7Cnavbl%7Cspbl,"<p>Egybell is hiring RSC Analytic Manager for a comoany located in october</p><p>Job description:</p><ul><li>1. Responsible for preparing and analyzing data from all projects covered by RSC ”Remote Support Center” unit.</li><li>2. Build different types of dashboards and presentations illustrating the situation of the covered projects.</li><li>3. Lead cross-functional projects using advanced data modeling and analysis techniques to discover insights that will guide strategic decisions and uncover optimization opportunities.</li><li>4. Build, develop and maintain data models, reporting systems, data automation systems, dashboards and performance metrics support that support key business decisions.</li><li>5. Design and build technical processes to address business issues.</li><li>6. Oversee the design and delivery of reports and insights that analyze business functions and key operations and performance metrics.</li><li>7. Ensure accuracy of data and deliverables of reporting employees with comprehensive policies and processes.</li><li>8. Manage and optimize processes for data intake, validation, mining and engineering as well as modeling, visualization and communication deliverables.</li><li>9. Organize and drive successful completion of data insight initiatives through effective management of analyst and data employees and effective collaboration with stakeholders.</li><li>10. Communicate results and business impacts of insight initiatives to stakeholders within the company.</li></ul><p> </p>","<p>Additional Requirements:</p><ul><li>1. To have good knowledge of Tableau and ERISITE Setup.</li><li>2. To be Excellent user for MS office package and data management.</li></ul><p> </p><p>Behaviors Skills:</p><ul><li>1. Presentation, negotiation and argumentation skills.</li><li>2. Very good leadership and management skills.</li><li>3. Drive innovation & commercial thinking.</li><li>4. Decision making & initiating action.</li><li>5. Ability to adapt to changes.</li><li>6. Self-motivated.</li><li>7. Take leads if needed and can be team player.</li><li>8. Excellent social skills and strong customer orientation.</li><li>9. Capable of coping with pressures & setbacks.</li><li>10. Helpful, supportive and understand to make other shine.</li><li>11. Positive, flexible, pro-active, act and drive with urgency.</li><li>12. Working effectively under pressure.</li></ul><p> </p><p>Years of Experience& Certifications:</p><ul><li>1. Min 5 years working in similar roles (Working with Erisite is plus)</li><li>Require laptop and mobile package.</li></ul>",Confidential,5 - 9 years,Bachelor's Degree,"Data, Google Analytics, Marketing, Management, MS Office, RSC, Analysis, Computer Science, Data Analysis, Data Management, Information Technology (IT), Tableau"
2022-09-18 11:32:23,Senior Data Analyst,Alarabia Group,"10th of Ramadan City, Cairo, Egypt",Full Time,Experienced (Non-Manager),https://wuzzuf.net/jobs/p/TWguALrIS6vT-Senior-Data-Analyst-Alarabia-Group-Cairo-Egypt%3Fo%3D4%26l%3Dsp%26t%3Dsj%26a%3Ddata%20analyst%7Csearch-v3%7Cnavbl%7Cspbl,"<ul><li>To understand business requirements in the BI context and design data models to convert raw data to meaningful insights.</li><li>To create dashboards and visual interactive reports using Power BI.</li><li>To identify KPIs with clear objectives and monitor them consistently.</li><li>To analyze data and present it through reports that can help in decision-making.</li><li>To design, develop, and deploy Power BI scripts and perform efficient detailed analysis.</li><li>To perform DAX queries and functions in Power BI.</li><li>To create charts and document data with algorithms, parameters, models, and relations explanations.</li><li>To perform SQL querying for best results.</li><li>To use filters and graphs for a better understanding of the data.</li><li>To define and design new systems by analyzing current ETL processes.</li><li>To make technical changes to existing BI systems in order to enhance their working.</li><li>Develop and execute database queries and conduct analysis.</li><li>Maintain and support data analytics platforms.</li></ul>","<ul><li>BSc/BA in Computer Science or relevant field</li><li>2 to 5 Years of experience in the same position.</li><li>Experience in PowerBI dashboard design, development and publishing</li><li>Experienced in analyzing data outside PowerBI using other tools</li><li>Very good knowledge of (SQL queries),, (SSRS) and (SSIS)</li><li>Background in data warehouse design (e.g. dimensional modeling) and data mining</li><li>In-depth understanding of database management systems.</li><li>Familiarity with BI technologies (MS Power BI or similar tools)</li></ul>",Confidential,2 - 5 years,Bachelor's Degree,"BI, BI Developer, Computer Science, developer, Information Technology (IT), Power, Power BI, power bi developer, SQL"
2022-09-07 21:44:59,Data Analyst,Hands of Hope Physical Therapy & Wellness,"Maadi, Cairo, Egypt",Full Time,Experienced (Non-Manager),https://wuzzuf.net/jobs/p/9AAaTU2msaG5-Data-Analyst-Hands-of-Hope-Physical-Therapy-Wellness-Cairo-Egypt%3Fo%3D5%26l%3Dsp%26t%3Dsj%26a%3Ddata%20analyst%7Csearch-v3%7Cnavbl%7Cspbl,"<ul><li>Track, collect, and interpret data, then analyze results using statistical techniques</li><li>Identify, analyze and interpret trends or patterns in complex data set</li><li>Provide insights and make recommendations based on data analysis</li><li>Google Analytics and similar platforms to present actionable insights in a visually appealing format.</li><li>Apply Data Cleaning Techniques for historical data.</li><li>Interpret data &amp; analyze results to provide ongoing reports and dashboards</li><li>Translate their findings of trends, wrong data entries… into easy-to-understand reports, dashboards &amp; presentations for management to get a clear picture of the department’s operations and ways to improve them.</li><li>Build company balance scorecard model</li><li>Analyze the historical data to forecast and create staffing scenarios for inbound and outbound business functions.</li><li>Provide quality assurance of imported data</li><li>Processing confidential data and information according to guidelines.</li><li>Managing and designing the reporting environment, including data sources, security, and metadata.</li><li>Assessing tests and implementing new or upgraded software and assisting with strategic decisions on new systems.</li><li>Generating reports from single or multiple systems.</li><li>Troubleshooting the reporting database environment and reports.</li><li>Evaluating changes and updates to source production systems.</li><li>Training end-users on new reports and dashboards.</li><li>Providing technical expertise in data storage structures, data mining, and data cleansing.</li></ul>","<ul><li>Essential experience in one or more of the data analysis tools (SQL, SPSS, VBA, R, Tableau, SAS, Microsoft Power BI, google data studio,…)  </li><li>3+ years in a data analyst role at least.</li><li>Expert-level proficiency with Excel and PowerPoint. Experience with Google Analytics, and Data Visualization tools.</li><li>Ability to collaborate effectively and work as part of a team</li><li>Strong attention to detail</li><li>Ability to analyze complex data sets and effectively communicate actionable insights to support goals and objectives.</li><li>Collaborative in nature with a passion for developing relationships.</li><li>Strong project management skills with the ability to prioritize multiple requests in a fast-paced environment.</li><li>Ability to work with stakeholders to assess potential risks.</li><li>Ability to analyze existing tools and databases and provide software solution recommendations.</li><li>Ability to translate business requirements into non-technical, lay terms.</li><li>High-level experience in methodologies and processes for managing large-scale databases.</li><li>Demonstrated experience in handling large data sets and relational databases.</li><li>Understanding of addressing and metadata standards.</li><li>High-level written and verbal communication skills.</li></ul>",Confidential,3 - 18 years,Bachelor's Degree,"Analysis, Analyst, Data, Data Analysis, Data Analyst, Information Technology (IT), Tableau, SPSS, SQL, SAS, Google Analytics, Epidemiology, Epidemiologist, Computer Science, Statistics"
2022-09-06 15:49:12,Data Analyst,Gila Electric,"New Cairo, Cairo, Egypt",Full Time,Experienced (Non-Manager),https://wuzzuf.net/jobs/p/adeG14H7rqQA-Data-Analyst-Gila-Electric-Cairo-Egypt%3Fo%3D6%26l%3Dsp%26t%3Dsj%26a%3Ddata%20analyst%7Csearch-v3%7Cnavbl%7Cspbl,"<ul><li>Interpret data, analyze results using statistical techniques and provide ongoing reports across different levels of the Life division.</li><li>Obtain data from internal data sources and maintain databases/data systems.</li><li>Actively identify, analyze, and interpret trends or patterns in simple to complex data sets.</li><li>Managing master data, including creation, updates, and deletion.</li><li>Managing users and user roles.</li><li>Provide quality assurance of imported data, working with quality assurance analysts if necessary.</li><li>Processing confidential data and information according to guidelines.</li><li>Helping develop reports and analysis.</li><li>Managing and designing the reporting environment, including data sources, security, and metadata.</li><li>Supporting initiatives for data integrity and normalization.</li><li>Assessing tests and implementing new or upgraded software and assisting with strategic decisions on new systems.</li><li>Generating reports from single or multiple systems.</li><li>Troubleshooting the reporting database environment and reports.</li><li>Evaluating changes and updates to source production systems.</li><li>Training end-users on new reports and dashboards.</li><li>Providing technical expertise in data storage structures, data mining, and data cleansing.</li></ul>","<ul><li>Bachelor’s degree from an accredited university or college in computer science / Commerce.</li><li>Work experience as a data analyst or in a related field.</li><li>An analytical mindset with problem-solving skills</li><li>Ability to analyze existing tools and databases and provide software solution recommendations.</li><li>Ability to translate business requirements into non-technical, lay terms.</li><li>High-level experience in methodologies and processes for managing large-scale databases.</li><li>Demonstrated experience in handling large data sets and relational databases.</li><li>High-level written and verbal communication skills.</li></ul>",12000 - 13000 EGP (Per Month),2 - 4 years,Bachelor's Degree,"Analysis, business, Computer Science, Commerce, analytical, Communication skills, Analyst, Data Analysis, Information Technology (IT), Data Analyst"
2022-09-25 13:36:15,Senior Business Intelligence Analyst,Future Group,"Dokki, Giza, Egypt","Full Time, Work From Home",Experienced (Non-Manager),https://wuzzuf.net/jobs/p/kTeqVGENBIjl-Senior-Business-Intelligence-Analyst-Future-Group-Giza-Egypt%3Fo%3D7%26l%3Dsp%26t%3Dsj%26a%3Ddata%20analyst%7Csearch-v3%7Cnavbl%7Cspbl,"<ul><li>Utilizes BI Tools to design and develop analytical content including reports, dashboards, and ad-hoc analyses and data sets.</li><li>Interpret data and analyze results to provide ongoing reports and dashboards and Provide insights.</li><li>Supports end-user adoption of BI tools through trainings and creation of documentation.</li><li>Understand the existing source system data models.</li><li>Prepare technical specifications and documentation for our workflows supporting BI reports.</li><li>Perform end to end data validation to maintain accuracy of data sets</li><li>Interacting with business partners to identify functional requirements resulting in data acquisition for BI applications.</li><li>Provide data analysis and support to business functions.</li><li>Work with cross-functional teams to set up, maintain and scale business tools and processes to manage & identify areas of improvement for existing processes.</li><li>With a continuous improvement mindset, identifies opportunities and recommends enhancements to develop and improve procedures and framework for Business Intelligence.</li></ul><p> </p>","<ul><li>Bachelors degree in Computer Science, Management Information Systems, Informatics or similar analytical field or equivalent experience.</li><li>3+ years of experience in BI tools as an analyst, creating highly interactive data visualization reports and dashboards.</li><li>Expert-level in SQL</li><li>Ideal candidates have experience in strategy consulting, technology, finance.</li><li>Excellent interpersonal, analytical, communication and problem-solving skills.</li><li>Strong project management skills with the ability to prioritize multiple requests in a fast-paced environment.</li><li>Solid Statistical, mathematical, analytical and data modeling Background</li></ul>",Confidential,3+ years,Bachelor's Degree,"BI, Analysis, analytical, Computer Science, Business Analysis, Information Technology (IT), Analyst, Data, Information Systems"
2022-09-01 10:30:44,Data Analyst,Lecico Egypt,"Alexandria, Egypt",Full Time,Experienced (Non-Manager),https://wuzzuf.net/jobs/p/123dzktUWSha-Data-Analyst-Lecico-Egypt-Alexandria-Egypt%3Fo%3D8%26l%3Dsp%26t%3Dsj%26a%3Ddata%20analyst%7Csearch-v3%7Cnavbl%7Cspbl,"<ul><li>Developing and maintaining databases, data systems - reorganizing data in a readable format.</li><li>Performing analysis to assess quality and meaning of data.</li><li>Filter data by reviewing reports and performance indicators to identify and correct code problems.</li><li>Prepare sales trackers for distributors and products daily.</li><li>Prepare some data about stocks to help in giving ideas.</li><li>Analyzing local, national, and global trends that impact both the organization and industry.</li><li>Preparing reports for management stating trends, patterns, and predictions using relevant data.</li></ul>","<ul><li>Bachelor Degree in any related field.</li><li>An analytical mindset with problem-solving skills</li><li>Proficient in MS Office (Excel, Access, Word, PowerPoint etc.)</li><li>Presentation skills</li><li>Analytical Skills .</li><li>2+ working experience as a data analyst.</li><li>Attention to details</li><li>Fluent in English.</li></ul>",Confidential,2 - 5 years,Bachelor's Degree,"Analysis, Data Analyst, Data Analysis, Analyst, English"
2022-09-21 14:07:25,Business System Analyst,The Food Lab,"Maadi, Cairo, Egypt",Full Time,Entry Level (Junior Level / Fresh Grad),https://wuzzuf.net/jobs/p/1dM41TI8bc8w-Business-System-Analyst-The-Food-Lab-Cairo-Egypt%3Fo%3D9%26l%3Dsp%26t%3Dsj%26a%3Ddata%20analyst%7Csearch-v3%7Cnavbl%7Cspbl,<ul><li>Responsible and accountable to maintain Operation business systems at a high-quality level of consistency and accuracy all the time.</li><li>Responsible to extract actionable insights from business systems and communicate the actions needed with cross-functional teams.</li><li>Assess and resolve data quality issues and provide technical support to different stakeholders.</li><li>Collaborate with cross-functional teams on identifying business/product opportunities.</li><li>Coordinate and assess the business platforms/applications updates impact on business users.</li><li>Constantly be on the lookout for new tools to improve the business and deliver better value.</li></ul>,<ul><li>Bachelor’s degree from an accredited university.</li><li>Ability to translate business requirements into non-technical.</li><li>Work experience as a data analyst or in a related field.</li><li>Ability to work with stakeholders to assess potential risks.</li><li>Ability to analyze existing tools and databases.</li><li>Proficiency with data analysis and visualization.</li><li>Ability and flexibility to take initiative and multi-task in projects from initiation to completion.</li></ul>,Confidential,1 - 3 years,Bachelor's Degree,"Analysis, Computer Science, Data Analysis, Data Analyst, Information Technology (IT), Analyst, Data"
2022-10-04 16:49:35,Financial Analyst,Allamna Integrated Solutions,"Heliopolis, Cairo, Egypt",Full Time,Experienced (Non-Manager),https://wuzzuf.net/jobs/p/WRQiBG8UhUZb-Financial-Analyst-Allamna-Integrated-Solutions-Cairo-Egypt%3Fo%3D10%26l%3Dsp%26t%3Dsj%26a%3Ddata%20analyst%7Csearch-v3%7Cnavbl%7Cspbl,"<ul><li>Analyze financial data and provide forecasting support</li><li>Organize data into accessible reports and perform various types of analysis using key metrics such as yearly growth, return on assets, return on equity and earnings per share</li><li>Evaluate and analyze capital expenditures, depreciation, proposals, investment opportunities, rate of return, profit plans, operating records, financial statements, etc.</li><li>Study a company’s financial data to give advice for guiding business investments and overall financial strategy.</li></ul>","<ul><li>Bachelor's degree in Finance, Accounting, Commerce or equivalent.</li><li>Strategic thinking</li><li>Ability to persuade senior stakeholders</li><li>Understanding of Sarbanes-Oxley</li><li>Ability to multitask</li><li>Presentation skills</li><li>Time management and organizational skills</li><li>Microsoft power BI</li></ul>",Unpaid,4 - 7 years,Bachelor's Degree,"Accounting, Finance, Financial Analysis, BI, Management, Financial Data Analysis, Financial Services"
